ISBN,登録番号,受入日,書名,書名かな,副書名,副書名かな,叢書名等,叢書名等かな,著者名,著者名かな,媒体種別,分類記号,図書記号,巻冊記号,出版社,版年,頁数,判型,本体価格,TRCMARCNO,内容紹介,件名,財源,受入先,価格,保管場所,別置記号,備考,付記事項,注記,除籍フラグ,除籍年月日,除籍番号,除籍理由,不明図書フラグ,不明日,不明理由,未点検回数,帯出禁止フラグ,バーコード印刷済フラグ,背ラベル印刷済フラグ,任意項目,
9788-853000378,81501,2024/09/20,The picture of Dorian Gray,,,,Reading and training  intermediate,,Oscar Wilde,,,837.7,RE,,Black Cat,2003,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000378,81502,2024/09/20,The picture of Dorian Gray,,,,Reading and training  intermediate,,Oscar Wilde,,,837.7,RE,,Black Cat,2003,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877549334,81503,2024/09/20,Vanity fair,,,,Reading and training  intermediate,,William Makepeace Thackeray,,,837.7,RE,,Black Cat,2004,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877549334,81504,2024/09/20,Vanity fair,,,,Reading and training  intermediate,,William Makepeace Thackeray,,,837.7,RE,,Black Cat,2004,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877549334,81505,2024/09/20,Vanity fair,,,,Reading and training  intermediate,,William Makepeace Thackeray,,,837.7,RE,,Black Cat,2004,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877546227,81506,2024/09/20,The phantom of the opera,,,,Reading and training  elementary  step 3,,Gaston Leroux,,,837.7,RE,,Black Cat,2002,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877546227,81507,2024/09/20,The phantom of the opera,,,,Reading and training  elementary  step 3 B1.2,,Gaston Leroux,,,837.7,RE,,Black Cat,2002,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877546227,81508,2024/09/20,The phantom of the opera,,,,Reading and training  elementary  step 3 B1.2,,Gaston Leroux,,,837.7,RE,,Black Cat,2002,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877546227,81509,2024/09/20,The phantom of the opera,,,,Reading and training  elementary  step 3 B1.2,,Gaston Leroux,,,837.7,RE,,Black Cat,2002,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853001627,81510,2024/09/20,Lord Arthur Savile's crime and other stories,,,,Reading and training  elementary  step 3,,Oscar Wilde ,,,837.7,RE,,Black Cat,2005,112p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853001627,81511,2024/09/20,Lord Arthur Savile's crime and other stories,,,,Reading and training  elementary  step 3 B1.2,,Oscar Wilde ,,,837.7,RE,,Black Cat,2005,112p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853001627,81512,2024/09/20,Lord Arthur Savile's crime and other stories,,,,Reading and training  elementary  step 3 B1.2,,Oscar Wilde ,,,837.7,RE,,Black Cat,2005,112p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853001627,81513,2024/09/20,Lord Arthur Savile's crime and other stories,,,,Reading and training  elementary  step 3 B1.2,,Oscar Wilde ,,,837.7,RE,,Black Cat,2005,112p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853003669,81514,2024/09/20,The diamond as big as the Ritz,,,,Reading and training  Step 3 B1.2,,F. Scott Fitzgerald,,,837.7,RE,,Black Cat,2006,96p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853003669,81515,2024/09/20,The diamond as big as the Ritz,,,,Reading and training  Step 3 B1.2,,F. Scott Fitzgerald,,,837.7,RE,,Black Cat,2006,96p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853003669,81516,2024/09/20,The diamond as big as the Ritz,,,,Reading and training  Step 3 B1.2,,F. Scott Fitzgerald,,,837.7,RE,,Black Cat,2006,96p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853003669,81517,2024/09/20,The diamond as big as the Ritz,,,,Reading and training  Step 3 B1.2,,F. Scott Fitzgerald,,,837.7,RE,,Black Cat,2006,96p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853008350,81518,2024/09/20,The strange case of Dr. Jekyll and Mr. Hyde,,,,Reading and training  step 3  B1.2,,Robert Louis Stevenson,,,837.7,RE,,Black Cat,2008,85p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853008350,81519,2024/09/20,The strange case of Dr. Jekyll and Mr. Hyde,,,,Reading and training  step 3  B1.2,,Robert Louis Stevenson,,,837.7,RE,,Black Cat,2008,85p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853006592,81520,2024/09/20,The Canterville ghost,,,,Reading and training  step 3  B1.2,,Oscar Wilde,,,837.7,RE,,Black Cat,2007,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853002914,81521,2024/09/20,Great mysteries of our world,,,,Reading and training  elementary  step 3 B1.2,,Gina D. B. Clemen,,,837.7,RE,,Black Cat,2005,96p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877547576,81522,2024/09/20,Alien at school,,,,Reading and training  elementary  step 3 B1.2,,Michelle Brown ,,,837.7,RE,,Black Cat,1998,96p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000194,81523,2024/09/20,The strange case of Dr Jekyll and Mr Hyde,,,,Reading and training  elementary  step 3,,Robert Louis Stevenson,,,837.7,RE,,Black Cat,2003,96p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853005977,81524,2024/09/20,The sign of four,,,,Reading and training  Step 4 B2.1,,Sir Arthur Conan Doyle,,,837.7,RE,,Black Cat,2007,126p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853001641,81525,2024/09/21,Famous British criminals from The Newgate calendar,,,,Reading and training  step 4 B2.1,,Victoria Spence,,,837.7,RE,,Black Cat,2005,112p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000217,81526,2024/09/21,American horror : three terrifying tales,,,,Reading and training  Step4 B2.1,Step4 B2.1,Edgar Allan Poe,,,837.7,RE,,Black Cat,2003,110p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000217,81527,2024/09/21,American horror : three terrifying tales,,,,Reading and training  Step4 B2.1,Step4 B2.1,Edgar Allan Poe,,,837.7,RE,,Black Cat,2003,110p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877549297,81528,2024/09/21,Tom Jones,,,,Reading and training  pre-intermediate,,Henry Fielding,,,837.7,RE,,Black Cat,2003,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853001214,81529,2024/09/21,The turn of the screw,,,,Reading and training  pre-intermediate,,Henry James,,,837.7,RE,,Black Cat,2004,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853001214,81530,2024/09/21,The turn of the screw,,,,Reading and training  pre-intermediate,,Henry James,,,837.7,RE,,Black Cat,2004,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853001214,81531,2024/09/21,The turn of the screw,,,,Reading and training  pre-intermediate,,Henry James,,,837.7,RE,,Black Cat,2004,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853001214,81532,2024/09/21,The turn of the screw,,,,Reading and training  pre-intermediate,,Henry James,,,837.7,RE,,Black Cat,2004,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853004130,81533,2024/09/21,Daisy Miller,,,,Reading and training  Step 4　B2.1,,Henry James,,,837.7,RE,,Black Cat,2006,94p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853004130,81534,2024/09/21,Daisy Miller,,,,Reading and training  Step 4　B2.1,,Henry James,,,837.7,RE,,Black Cat,2006,94p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853004130,81535,2024/09/21,Daisy Miller,,,,Reading and training  Step 4　B2.1,,Henry James,,,837.7,RE,,Black Cat,2006,94p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853001351,81536,2024/09/21,Pride and prejudice,,,,Reading and training  intermediate,,Jane Austen,,,837.7,RE,,Black Cat,2003,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 4.5 200000w,False,,,,False,,,,False,False,True,,
9788-853001351,81537,2024/09/21,Pride and prejudice,,,,Reading and training  intermediate,,Jane Austen,,,837.7,RE,,Black Cat,2003,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 4.5 200000w,False,,,,False,,,,False,False,True,,
9788-853009562,81538,2024/09/21,Kim,,,,Reading and training  step 3  B1.2,,Rudyard Kipling,,,837.7,RE,,Black Cat,2009,127p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853008305,81539,2024/09/21,True adventures stories,,,,Reading and training  step 3  B1.2,,Peter Foreman,,,837.7,RE,,Black Cat,2008,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877549334,81540,2024/09/21,Vanity fair,,,,Reading and training  intermediate,,William Makepeace Thackeray,,,837.7,RE,,Black Cat,2004,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877549334,81541,2024/09/21,Vanity fair,,,,Reading and training  intermediate,,William Makepeace Thackeray,,,837.7,RE,,Black Cat,2004,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853002952,81542,2024/09/21,A study in scarlet,,,,Reading and training  Step 4　B2.1,,Sir Arthur Conan Doyle,,,837.7,RE,,Black Cat,2006,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853002952,81543,2024/09/21,A study in scarlet,,,,Reading and training  Step 4　B2.1,,Sir Arthur Conan Doyle,,,837.7,RE,,Black Cat,2006,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853001542,81544,2024/09/21,Much ado about nothing,,,,Reading and training  pre-intermediate,,William Shakespeare,,,837.7,RE,,Black Cat,2003,128p,24cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000330,81545,2024/09/21,A midsummer night's dream,,,,Reading and training  pre-intermediate  step 4,,William Shakespeare,,,837.7,RE,,Black Cat,2003,95p,24cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877546081,81546,2024/09/21,The taming of the shrew,,,,Reading and training  intermediate,,William Shakespeare,,,837.7,RE,,Black Cat,2000,127p,24cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877549105,81547,2024/09/21,Heart of darkness,,,,Reading and training  intermediate,,Joseph Conrad,,,837.7,RE,,Black Cat,2003,112p,24cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877549105,81548,2024/09/21,Heart of darkness,,,,Reading and training  intermediate,,Joseph Conrad,,,837.7,RE,,Black Cat,2003,112p,24cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877549105,81549,2024/09/21,Heart of darkness,,,,Reading and training  intermediate,,Joseph Conrad,,,837.7,RE,,Black Cat,2003,112p,24cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877549105,81550,2024/09/21,Heart of darkness,,,,Reading and training  intermediate,,Joseph Conrad,,,837.7,RE,,Black Cat,2003,112p,24cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559638,81551,2024/09/24,Lost treasure of the emerald eye,,,,Geronimo Stilton  1,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,116p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559638,81552,2024/09/24,Lost treasure of the emerald eye,,,,Geronimo Stilton  1,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,116p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559638,81553,2024/09/24,Lost treasure of the emerald eye,,,,Geronimo Stilton  1,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,116p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559638,81554,2024/09/24,Lost treasure of the emerald eye,,,,Geronimo Stilton  1,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,116p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559638,81555,2024/09/24,Lost treasure of the emerald eye,,,,Geronimo Stilton  1,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,116p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559645,81556,2024/09/24,The curse of the cheese pyramid,,,,Geronimo Stilton  2,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,112p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559645,81557,2024/09/24,The curse of the cheese pyramid,,,,Geronimo Stilton  2,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,112p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559645,81558,2024/09/24,The curse of the cheese pyramid,,,,Geronimo Stilton  2,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,112p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559645,81559,2024/09/24,The curse of the cheese pyramid,,,,Geronimo Stilton  2,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,112p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-073005993,81560,2024/09/24,The curse of the cheese pyramid,,,,Geronimo Stilton  2,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,112p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559652,81561,2024/09/24,Cat and mouse in a haunted house,,,,Geronimo Stilton  3,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,111p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559652,81562,2024/09/24,Cat and mouse in a haunted house,,,,Geronimo Stilton  3,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,111p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559652,81563,2024/09/24,Cat and mouse in a haunted house,,,,Geronimo Stilton  3,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,111p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559652,81564,2024/09/24,Cat and mouse in a haunted house,,,,Geronimo Stilton  3,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,111p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559652,81565,2024/09/24,Cat and mouse in a haunted house,,,,Geronimo Stilton  3,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,111p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559669,81566,2024/09/24,I'm too fond of my fur!,,,,Geronimo Stilton  4,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,116p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559690,81567,2024/09/24,Red pizzas for a blue count,,,,Geronimo Stilton  7,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,116p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559706,81568,2024/09/24,Attack of the bandit cats,,,,Geronimo Stilton  8,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,113p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559706,81569,2024/09/24,Attack of the bandit cats,,,,Geronimo Stilton  8,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,113p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559706,81570,2024/09/24,Attack of the bandit cats,,,,Geronimo Stilton  8,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,113p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559706,81571,2024/09/24,Attack of the bandit cats,,,,Geronimo Stilton  8,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,113p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559706,81572,2024/09/24,Attack of the bandit cats,,,,Geronimo Stilton  8,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,113p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559713,81573,2024/09/25,A fabumouse vacation for geronimo,,,,Geronimo Stilton  9,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,112p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559713,81574,2024/09/25,A fabumouse vacation for geronimo,,,,Geronimo Stilton  9,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,112p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559713,81575,2024/09/25,A fabumouse vacation for geronimo,,,,Geronimo Stilton  9,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,112p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559713,81576,2024/09/25,A fabumouse vacation for geronimo,,,,Geronimo Stilton  9,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,112p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559713,81577,2024/09/25,A fabumouse vacation for geronimo,,,,Geronimo Stilton  9,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,112p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559720,81578,2024/09/25,All because of a cup of coffee,,,,Geronimo Stilton  10,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,112p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559720,81579,2024/09/25,All because of a cup of coffee,,,,Geronimo Stilton  10,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,112p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559720,81580,2024/09/25,All because of a cup of coffee,,,,Geronimo Stilton  10,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,112p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559720,81581,2024/09/25,All because of a cup of coffee,,,,Geronimo Stilton  10,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,112p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559720,81582,2024/09/25,All because of a cup of coffee,,,,Geronimo Stilton  10,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,112p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559737,81583,2024/09/25,It's Halloween  you 'fraidy mouse!,,,,Geronimo Stilton  11,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,113p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559737,81584,2024/09/25,It's Halloween  you 'fraidy mouse!,,,,Geronimo Stilton  11,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,113p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559737,81585,2024/09/25,It's Halloween  you 'fraidy mouse!,,,,Geronimo Stilton  11,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,113p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559737,81586,2024/09/25,It's Halloween  you 'fraidy mouse!,,,,Geronimo Stilton  11,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,113p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9780-439559737,81587,2024/09/25,It's Halloween  you 'fraidy mouse!,,,,Geronimo Stilton  11,,Geronimo Stilton,,,837.7,ST,,Scholastic,2004,113p,20cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
